WKT,fid,OBJECTID,OBJECT_ID,PIPENO,ORIGINALCO,PRESSURED,PRESSURER,MATERIAL,DIAMETERI,DIAMETERO,THICKNESS,LENGTH,TECHNICAL,STARTPOINT,ENDPOINTZ,PROFILEMAP,PLANCODE,DESIGNCODE,PROJECTCOD,SURVEYCODE,ANTICORROS,ORIGINALDA,INNERCODE,DATASOURCE,FROMLEVEL,SHAPE_LENG,DIAMETERPR,ENABLED,MANAGEREGI,REGION,UPDATETIME,MAPNAME,YEAR,SURVEYCO_1,MANAGERE_1,SHAPE_Le_1
"MULTILINESTRING ((116.492533840715 39.7591283242154,116.492580309695 39.7591282863091))","1321542",1322012,,"00720120504900730001","04120504901823",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,114,0,3.997,,0,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN100,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,3.99703615238618
"MULTILINESTRING ((116.492581630371 39.7590537343308,116.492608356901 39.7590529849007))","1303824",1304289,,"00720120504900738001","04120504902276",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,2.3,,0,29.751,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,2.30009608554462
"MULTILINESTRING ((116.492580309695 39.7591282863091,116.492581630371 39.7590537343308))","1303822",1304287,,"00720120504900736001","04120504901827",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,8.277,,0,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,8.2769743854802
"MULTILINESTRING ((116.492580309695 39.7591282863091,116.492685780314 39.7591281858377))","1303823",1304288,,"00720120504900737001","04120504901822",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,114,0,9.072,,0,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN100,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,9.07207545132274
"MULTILINESTRING ((116.492608352194 39.7590507330306,116.492608356901 39.7590529849007))","1303543",1304008,,"00720120504900741001","04120504901335",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,0.25,,29.751,29.751,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,0.25
"MULTILINESTRING ((116.492649507741 39.7590505637805,116.49264951245 39.7590528156507))","1313022",1313490,,"00720120504900744001","04120504901828",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,0.25,,0,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,0.25
"MULTILINESTRING ((116.49264951245 39.7590528156507,116.492686715771 39.7590529418593))","1313023",1313491,,"00720120504900745001","04120504901829",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,3.2,,0,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,3.20015015197728
"MULTILINESTRING ((116.492685780314 39.7591281858377,116.492686715771 39.7590529418593))","1303827",1304292,,"00720120504900749001","04120504901830",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,8.354,,0,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,8.35352889513837
"MULTILINESTRING ((116.492685780314 39.7591281858377,116.49273448137 39.7591281386071))","1303828",1304293,,"00720120504900750001","04120504901821",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,114,0,4.189,,0,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN100,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,4.18903449521382
"MULTILINESTRING ((116.49273448137 39.7591281386071,116.492736242284 39.7590529272616))","1303830",1304295,,"00720120504900752001","04120504901833",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,8.351,,0,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,8.35063027694061
