WKT,fid,OBJECTID,ECODE,FROMFILE,IMPORTDATE,MAPID,X,Y,MANAGEREGI,PIPENO,PRESSURED,PRESSURER
"MULTIPOINT ((116.492752100675 39.7596915706728))","423942",423942,N54R332A027,,,"23322",511640.711,288057.596,四分运行维护一所,"02420120504952026001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.49279695563 39.7613529813334))","419942",419942,N54R332A004,,,"23322",511644.27,288242.063,四分运行维护一所,"02420120504952040001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.492793256527 39.7596914013041))","423940",423940,N54R332A029,,,"23322",511644.251,288057.596,四分运行维护一所,"02420120504952028001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.492798975033 39.7604126844238))","423939",423939,N54R332A030,,,"23322",511644.613,288137.674,四分运行维护一所,"02420120504952029001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.492910427474 39.7613525141808))","419941",419941,N54R332A005,,,"23322",511654.03,288242.063,四分运行维护一所,"02420120504952041001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.492907888252 39.759690929384))","423528",423528,N54R332A031,,,"23322",511654.111,288057.596,四分运行维护一所,"02420120504952030001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.492913607941 39.7604122124856))","423527",423527,N54R332A032,,,"23322",511654.473,288137.674,四分运行维护一所,"02420120504952031001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.492949044024 39.7596907598894))","423526",423526,N54R332A033,,,"23322",511657.651,288057.596,四分运行维护一所,"02420120504952032001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.49295613981 39.7598646124623))","423524",423524,N54R333A001,,,"23322",511658.23,288076.9,四分运行维护一所,"02420120504952034001",中压B 0.01<P<=0.2MPa,中压B 0.01<P<=0.2MPa
"MULTIPOINT ((116.492954764137 39.7604120429845))","423525",423525,N54R332A034,,,"23322",511658.013,288137.674,四分运行维护一所,"02420120504952033001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.49295158423 39.7613523446797))","419940",419940,N54R332A006,,,"23322",511657.57,288242.063,四分运行维护一所,"02420120504952042001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.493069396822 39.7604115706966))","423523",423523,N54R332A035,,,"23322",511667.873,288137.674,四分运行维护一所,"02420120504952035001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.493110552939 39.7604114010703))","423522",423522,N54R332A036,,,"23322",511671.413,288137.674,四分运行维护一所,"02420120504952036001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.49312764155 39.7611087488629))","422610",422610,N54R332A037,,,"23322",511672.757,288215.1,四分运行维护一所,"02420120504952136001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.493231114069 39.7611083222172))","423494",423494,N54R332A038,,,"23322",511681.657,288215.1,四分运行维护一所,"02420120504952128001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.493284174176 39.7601940715836))","419939",419939,N54R332A039,,,"23322",511686.386,288113.626,四分运行维护一所,"02420120504952043001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.493312799054 39.7611134798622))","419938",419938,N54R332A040,,,"23322",511688.682,288215.71,四分运行维护一所,"02420120504952044001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.493353955466 39.7611133100401))","419936",419936,N54R332A042,,,"23322",511692.222,288215.71,四分运行维护一所,"02420120504952046001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.493369741182 39.7601937185229))","419934",419934,N54R332A044,,,"23322",511693.746,288113.626,四分运行维护一所,"02420120504952048001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.493453343244 39.7601988680388))","419933",419933,N54R332A045,,,"23322",511700.936,288114.236,四分运行维护一所,"02420120504952049001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.493509745088 39.7611126669163))","426167",426167,N54R332A049,,,"23322",511705.622,288215.71,四分运行维护一所,"02420120504952053001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.493559156517 39.7612563943645))","421718",421718,N54R332A051,,,"23322",511709.846,288231.689,四分运行维护一所,"02420130108252001001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.493590360352 39.7611068393399))","426165",426165,N54R332A052,,,"23322",511712.557,288215.1,四分运行维护一所,"02420120504952055001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.49360913063 39.7601982246277))","426164",426164,N54R332A053,,,"23322",511714.336,288114.236,四分运行维护一所,"02420120504952056001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.493650286354 39.7601980545747))","426162",426162,N54R332A055,,,"23322",511717.876,288114.236,四分运行维护一所,"02420120504952058001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.4936820086 39.7611064606432))","423040",423040,N54R332A057,,,"23322",511720.44,288215.1,四分运行维护一所,"02420120504952060001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.493494499044 39.7601986981081))","426168",426168,N54R332A048,,,"23322",511704.476,288114.236,四分运行维护一所,"02420120504952052001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.493468588753 39.7611128368614))","426170",426170,N54R332A046,,,"23322",511702.082,288215.71,四分运行维护一所,"02420120504952050001",低压 P<=0.01MPa,低压 P<=0.01MPa
