WKT,fid,OBJECTID,ECODE,FROMFILE,IMPORTDATE,MAPID,X,Y,MANAGEREGI,PIPENO,PRESSURED,PRESSURER
"MULTIPOINT ((116.495534823703 39.7579648359384))","413765",413765,N54R335A072,,,"23402",511880.384,287867.177,四分运行维护一所,"02420120504952226001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.496058352014 39.7573468677797))","415550",415550,N54R335A082,,,"23402",511925.531,287798.814,四分运行维护一所,"02420120504952242001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.495703076639 39.7579696292394))","416451",416451,N54R335A076,,,"23402",511894.856,287867.787,四分运行维护一所,"02420120504952272001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.49574423013 39.757969457628))","417343",417343,N54R335A078,,,"23402",511898.396,287867.787,四分运行维护一所,"02420120504952231001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.495728895677 39.7571035339018))","417344",417344,N54R335A077,,,"23402",511897.236,287771.647,四分运行维护一所,"02420120504952230001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.495687742694 39.7571037055))","413762",413762,N54R335A075,,,"23402",511893.696,287771.647,四分运行维护一所,"02420120504952229001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.492948777209 39.7558182365737))","418681",418681,N54R335A094,,,"23402",511658.326,287627.677,四分运行维护一所,"02420120504952282001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.493609589533 39.7558319044031))","418676",418676,N54R335A101,,,"23402",511715.166,287629.497,四分运行维护一所,"02420120504952287001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.493899381583 39.7558307063172))","418675",418675,N54R335A102,,,"23402",511740.094,287629.497,四分运行维护一所,"02420120504952288001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.492841494267 39.755882992464))","418682",418682,N54R335A093,,,"23402",511649.086,287634.817,四分运行维护一所,"02420120504952281001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.492728031267 39.755883459424))","418683",418683,N54R335A092,,,"23402",511639.326,287634.817,四分运行维护一所,"02420120504952280001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.49443586237 39.7560287227067))","418674",418674,N54R335A103,,,"23402",511786.206,287651.727,四分运行维护一所,"02420120504952289001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.493235925528 39.7561515045345))","418679",418679,N54R335A096,,,"23402",511682.966,287664.807,四分运行维护一所,"02420120504952284001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.493194772 39.7561516742499))","418680",418680,N54R335A095,,,"23402",511679.426,287664.807,四分运行维护一所,"02420120504952283001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.493545157597 39.7561502282282))","418677",418677,N54R335A100,,,"23402",511709.566,287664.807,四分运行维护一所,"02420120504952286001",低压 P<=0.01MPa,低压 P<=0.01MPa
