WKT,fid,OBJECTID,OBJECT_ID,PIPENO,ORIGINALCO,PRESSURED,PRESSURER,MATERIAL,DIAMETERI,DIAMETERO,THICKNESS,LENGTH,TECHNICAL,STARTPOINT,ENDPOINTZ,PROFILEMAP,PLANCODE,DESIGNCODE,PROJECTCOD,SURVEYCODE,ANTICORROS,ORIGINALDA,INNERCODE,DATASOURCE,FROMLEVEL,SHAPE_LENG,DIAMETERPR,ENABLED,MANAGEREGI,REGION,UPDATETIME,MAPNAME,YEAR,SURVEYCO_1,MANAGERE_1,SHAPE_Le_1
"MULTILINESTRING ((116.492815994131 39.7558864113218,116.492841497817 39.755885243444))","1313591",1314059,,"00720120504900766001","04120504902003",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,2.197,,0,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,2.19717090840865
"MULTILINESTRING ((116.492816282891 39.7560576802691,116.492995772754 39.7560545271136))","1313590",1314058,,"00720120504900765001","04120504902528",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,168,0,15.442,,0,28.2,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN150,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,15.4423257319692
"MULTILINESTRING ((116.492841493102 39.7558829915681,116.492841497817 39.755885243444))","1303244",1303709,,"00720120504900772001","04120504902002",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,0.25,,0,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,0.25
"MULTILINESTRING ((116.492948776044 39.7558182356777,116.492995277121 39.75581804413))","1322112",1322585,,"00720120504900788001","04120504902005",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,4,,0,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,4
"MULTILINESTRING ((116.492995271458 39.7558153418788,116.492995277121 39.75581804413))","1322115",1322588,,"00720120504900791001","04120504902529",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,89,0,0.3,,28.37,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN80,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,0.299999998882413
"MULTILINESTRING ((116.492995277121 39.75581804413,116.492995772754 39.7560545271136))","1322244",1322717,,"00720120504900792001","04120504902530",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,89,0,26.254,,0,28.17,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN80,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,26.2540000006557
"MULTILINESTRING ((116.492995772754 39.7560545271136,116.493041575406 39.756053842984))","1322245",1322718,,"00720120504900793001","04120504902287",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,168,0,3.94,,28.2,28.2,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN150,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,3.94038386402359
"MULTILINESTRING ((116.493064860366 39.7560535038266,116.493064862188 39.7560488288851))","1314461",1314929,,"00720120504900807001","04120504902592",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,219,0,0.519,,28.142,28.22,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN200,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,0.519000962777818
"MULTILINESTRING ((116.49306701698 39.756244824929,116.493080967371 39.7562447674365))","1312862",1313330,,"00720120504900810001","04120504902289",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,114,0,1.2,,28.31,28.31,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN100,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,1.20000000018626
"MULTILINESTRING ((116.493080967371 39.7562447674365,116.493177878707 39.7562456470162))","1312863",1313331,,"00720120504900811001","04120504902534",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,114,0,8.337,,28.31,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN100,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,8.33720936539164
