WKT,fid,OBJECTID,OBJECT_ID,PIPENO,ORIGINALCO,PRESSURED,PRESSURER,MATERIAL,DIAMETERI,DIAMETERO,THICKNESS,LENGTH,TECHNICAL,STARTPOINT,ENDPOINTZ,PROFILEMAP,PLANCODE,DESIGNCODE,PROJECTCOD,SURVEYCODE,ANTICORROS,ORIGINALDA,INNERCODE,DATASOURCE,FROMLEVEL,SHAPE_LENG,DIAMETERPR,ENABLED,MANAGEREGI,REGION,UPDATETIME,MAPNAME,YEAR,SURVEYCO_1,MANAGERE_1,SHAPE_Le_1
"MULTILINESTRING ((116.496154739834 39.7624895781145,116.496388423549 39.7624893220554))","2146862",2147733,,"00720120504800834001","04120504800610",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,114,0,20.1,,29.52,0,,,,10-1156-L,"201205048",,"20160317144554",,实测,,,DN100,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,20.1001592029774
"MULTILINESTRING ((116.496148097576 39.7619341201813,116.496154739834 39.7624895781145))","2147105",2147976,,"00720120504800832001","04120504801018",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,168,0,61.671,,29.69,29.54,,,,10-1156-L,"201205048",,"20160317144554",,实测,,,DN150,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,61.6707833740597
"MULTILINESTRING ((116.496156939345 39.7626751511165,116.496157210548 39.7626932100846))","2147350",2148221,,"00720120504800835001","04120504801016",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,168,0,2.005,,29.51,29.51,,,,10-1156-L,"201205048",,"20160317144554",,实测,,,DN150,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,2.00509974895729
"MULTILINESTRING ((116.496157210548 39.7626932100846,116.496958153083 39.7627030998602))","2146402",2147273,,"00720120504800836001","04120504801036",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,68.906,,29.53,29.38,,,,10-1156-L,"201205048",,"20160317144554",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,68.9056819143285
"MULTILINESTRING ((116.496389329945 39.7631015331164,116.496395143115 39.7631015718616))","2147410",2148281,,"00720120504800848001","04120504800638",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,114,0,0.5,,29.7,29.7,,,,10-1156-L,"201205048",,"20160317144554",,实测,,,DN100,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,0.500048997615297
"MULTILINESTRING ((116.496388423549 39.7624893220554,116.496404807863 39.7624095188588))","2147655",2148526,,"00720120504800849001","04120504800630",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,8.966,,0,0,,,,10-1156-L,"201205048",,"20160317144554",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,8.96580615454426
"MULTILINESTRING ((116.496388423549 39.7624893220554,116.496502358835 39.7624892508785))","2145066",2145934,,"00720120504800850001","04120504800611",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,114,0,9.8,,0,0,,,,10-1156-L,"201205048",,"20160317144554",,实测,,,DN100,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,9.80010331652664
"MULTILINESTRING ((116.496395143115 39.7631015718616,116.496399147671 39.7630226851928))","2145294",2146162,,"00720120504800855001","04120504800641",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,8.763,,29.68,0,,,,10-1156-L,"201205048",,"20160317144554",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,8.76335649261611
"MULTILINESTRING ((116.496395143115 39.7631015718616,116.496492280752 39.7631020393319))","2145293",2146161,,"00720120504800856001","04120504800637",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,114,0,8.356,,29.7,0,,,,10-1156-L,"201205048",,"20160317144554",,实测,,,DN100,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,8.35556305653544
"MULTILINESTRING ((116.496404807863 39.7624095188588,116.496429185394 39.7624084441017))","2180625",2181508,,"00720120504800860001","04120504800629",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,2.1,,0,0,,,,10-1156-L,"201205048",,"20160317144554",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,2.09977927413375
"MULTILINESTRING ((116.496399147671 39.7630226851928,116.496416561779 39.7630218107019))","2180627",2181510,,"00720120504800858001","04120504800640",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,1.501,,0,0,,,,10-1156-L,"201205048",,"20160317144554",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,1.50064153006385
"MULTILINESTRING ((116.496429180562 39.7624061922385,116.496429185394 39.7624084441017))","2148414",2149285,,"00720120504800863001","04120504800628",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,0.25,,0,0,,,,10-1156-L,"201205048",,"20160317144554",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,0.25
"MULTILINESTRING ((116.496416556948 39.7630195588398,116.496416561779 39.7630218107019))","2180620",2181503,,"00720120504800861001","04120504800639",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,0.25,,0,0,,,,10-1156-L,"201205048",,"20160317144554",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,0.25
"MULTILINESTRING ((116.49645770154 39.7630193867648,116.496457706373 39.7630216386269))","2148654",2149525,,"00720120504800866001","04120504800642",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,0.25,,0,0,,,,10-1156-L,"201205048",,"20160317144554",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,0.25
"MULTILINESTRING ((116.496457706373 39.7630216386269,116.496492552595 39.7630228710227))","2148653",2149524,,"00720120504800867001","04120504800643",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,3.001,,0,0,,,,10-1156-L,"201205048",,"20160317144554",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,3.00090286359739
"MULTILINESTRING ((116.496470336412 39.7624060201078,116.496470341246 39.762408271971))","2181379",2182263,,"00720120504800872001","04120504800625",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,0.25,,0,0,,,,10-1156-L,"201205048",,"20160317144554",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,0.25
"MULTILINESTRING ((116.496470341246 39.762408271971,116.49650753428 39.7624088820304))","2181094",2181977,,"00720120504800873001","04120504800626",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,3.2,,0,0,,,,10-1156-L,"201205048",,"20160317144554",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,3.20012905989405
"MULTILINESTRING ((116.496492280752 39.7631020393319,116.496492552595 39.7630228710227))","2146830",2147701,,"00720120504800874001","04120504800644",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,8.789,,0,0,,,,10-1156-L,"201205048",,"20160317144554",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,8.78908214855922
"MULTILINESTRING ((116.496502358835 39.7624892508785,116.49650753428 39.7624088820304))","2146811",2147682,,"00720120504800876001","04120504800627",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,8.932,,0,0,,,,10-1156-L,"201205048",,"20160317144554",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,8.9318531111207
"MULTILINESTRING ((116.496502358835 39.7624892508785,116.496548862994 39.7624892184557))","2146810",2147681,,"00720120504800877001","04120504800612",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,114,0,4,,0,0,,,,10-1156-L,"201205048",,"20160317144554",,实测,,,DN100,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,4.00004049979987
"MULTILINESTRING ((116.496492280752 39.7631020393319,116.496544587403 39.7631022979029))","2146829",2147700,,"00720120504800875001","04120504800636",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,114,0,4.499,,0,0,,,,10-1156-L,"201205048",,"20160317144554",,实测,,,DN100,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,4.49931216948311
"MULTILINESTRING ((116.496549112112 39.7630220849411,116.496572339157 39.7630211590603))","2147042",2147913,,"00720120504800885001","04120504800646",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,2,,0,0,,,,10-1156-L,"201205048",,"20160317144554",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,2.00011699718903
"MULTILINESTRING ((116.496548862994 39.7624892184557,116.496560571405 39.7624084709745))","2146779",2147650,,"00720120504800886001","04120504800624",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,9.017,,0,0,,,,10-1156-L,"201205048",,"20160317144554",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,9.01710402584107
"MULTILINESTRING ((116.496548862994 39.7624892184557,116.496658147729 39.7624891574335))","2146778",2147649,,"00720120504800887001","04120504800613",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,114,0,9.4,,0,0,,,,10-1156-L,"201205048",,"20160317144554",,实测,,,DN100,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,9.40010297759943
"MULTILINESTRING ((116.496544587403 39.7631022979029,116.496549112112 39.7630220849411))","2147044",2147915,,"00720120504800883001","04120504800647",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,8.912,,0,0,,,,10-1156-L,"201205048",,"20160317144554",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,8.91216163353769
"MULTILINESTRING ((116.496544587403 39.7631022979029,116.496649223851 39.7631027967964))","2147043",2147914,,"00720120504800884001","04120504800635",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,114,0,9.001,,0,0,,,,10-1156-L,"201205048",,"20160317144554",,实测,,,DN100,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,9.0006008688342
"MULTILINESTRING ((116.49657233432 39.7630189071982,116.496572339157 39.7630211590603))","2146758",2147629,,"00720120504800893001","04120504800645",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,0.25,,0,0,,,,10-1156-L,"201205048",,"20160317144554",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,0.25
"MULTILINESTRING ((116.496560571405 39.7624084709745,116.496584973004 39.7624077923848))","2146759",2147630,,"00720120504800892001","04120504800623",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,2.1,,0,0,,,,10-1156-L,"201205048",,"20160317144554",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,2.0999754754902
"MULTILINESTRING ((116.496584968167 39.7624055405217,116.496584973004 39.7624077923848))","2146756",2147627,,"00720120504800895001","04120504800622",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,0.25,,0,0,,,,10-1156-L,"201205048",,"20160317144554",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,0.25
"MULTILINESTRING ((116.496626123962 39.7624053682844,116.4966261288 39.7624076201476))","2145442",2146310,,"00720120504800904001","04120504800619",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,0.25,,0,0,,,,10-1156-L,"201205048",,"20160317144554",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,0.25
"MULTILINESTRING ((116.496613490484 39.763018734968,116.496613495322 39.76302098683))","2145924",2146792,,"00720120504800898001","04120504800648",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,0.25,,0,0,,,,10-1156-L,"201205048",,"20160317144554",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,0.25
"MULTILINESTRING ((116.496613495322 39.76302098683,116.496648329931 39.7630222462068))","2145923",2146791,,"00720120504800899001","04120504800649",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,3,,0,0,,,,10-1156-L,"201205048",,"20160317144554",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,3.000058666342
